train_number,from_route,from_station,from_station_name,to_route,to_station,to_station_name,time,arrival,departure
710,San Joaquins,OKJ,"Oakland, CA",San Joaquins,EMY,"Emeryville, CA",480,2024-03-09 15:36:00+00:00,2024-03-09 15:36:00+00:00
710,San Joaquins,EMY,"Emeryville, CA",San Joaquins,RIC,"Richmond, CA",420,2024-03-09 15:44:00+00:00,2024-03-09 15:46:00+00:00
710,San Joaquins,RIC,"Richmond, CA",San Joaquins,MTZ,"Martinez, CA",1620,2024-03-09 15:53:00+00:00,2024-03-09 15:54:00+00:00
710,San Joaquins,MTZ,"Martinez, CA",San Joaquins,ACA,"Antioch-Pittsburg, CA",1440,2024-03-09 16:21:00+00:00,2024-03-09 16:25:00+00:00
710,San Joaquins,ACA,"Antioch-Pittsburg, CA",San Joaquins,SKN,"Stockton, CA",1740,2024-03-09 16:49:00+00:00,2024-03-09 16:50:00+00:00
710,San Joaquins,SKN,"Stockton, CA",San Joaquins,MOD,"Modesto, CA",1860,2024-03-09 17:19:00+00:00,2024-03-09 17:23:00+00:00
710,San Joaquins,MOD,"Modesto, CA",San Joaquins,TRK,"Turlock-Denair, CA",900,2024-03-09 17:54:00+00:00,2024-03-09 17:56:00+00:00
710,San Joaquins,TRK,"Turlock-Denair, CA",San Joaquins,MCD,"Merced, CA",1380,2024-03-09 18:11:00+00:00,2024-03-09 18:12:00+00:00
710,San Joaquins,MCD,"Merced, CA",San Joaquins,MDR,"Madera, CA",1980,2024-03-09 18:35:00+00:00,2024-03-09 18:45:00+00:00
710,San Joaquins,MDR,"Madera, CA",San Joaquins,FNO,"Fresno, CA",1560,2024-03-09 19:18:00+00:00,2024-03-09 19:19:00+00:00
710,San Joaquins,FNO,"Fresno, CA",San Joaquins,HNF,"Hanford, CA",1920,2024-03-09 19:45:00+00:00,2024-03-09 19:49:00+00:00
710,San Joaquins,HNF,"Hanford, CA",San Joaquins,COC,"Corcoran, CA",900,2024-03-09 20:21:00+00:00,2024-03-09 20:24:00+00:00
710,San Joaquins,COC,"Corcoran, CA",San Joaquins,WAC,"Wasco, CA",2160,2024-03-09 20:39:00+00:00,2024-03-09 20:40:00+00:00
710,San Joaquins,WAC,"Wasco, CA",San Joaquins,BFD,"Bakersfield, CA",2400,2024-03-09 21:16:00+00:00,2024-03-09 21:17:00+00:00
710,San Joaquins,BFD,"Bakersfield, CA",San Joaquins,None,None,0,2024-03-09 21:57:00+00:00,2024-03-09 21:57:00+00:00
92,Silver Service / Palmetto,MIA,"Miami, FL",Silver Service / Palmetto,HOL,"Hollywood, FL",1380,2024-03-09 16:40:00+00:00,2024-03-09 16:40:00+00:00
92,Silver Service / Palmetto,HOL,"Hollywood, FL",Silver Service / Palmetto,FTL,"Fort Lauderdale, FL",600,2024-03-09 17:03:00+00:00,2024-03-09 17:05:00+00:00
92,Silver Service / Palmetto,FTL,"Fort Lauderdale, FL",Silver Service / Palmetto,DFB,"Deerfield Beach, FL",720,2024-03-09 17:15:00+00:00,2024-03-09 17:20:00+00:00
92,Silver Service / Palmetto,DFB,"Deerfield Beach, FL",Silver Service / Palmetto,DLB,"Delray Beach, FL",660,2024-03-09 17:32:00+00:00,2024-03-09 17:37:00+00:00
92,Silver Service / Palmetto,DLB,"Delray Beach, FL",Silver Service / Palmetto,WPB,"West Palm Beach, FL",1020,2024-03-09 17:48:00+00:00,2024-03-09 17:51:00+00:00
92,Silver Service / Palmetto,WPB,"West Palm Beach, FL",Silver Service / Palmetto,OKE,"Okeechobee, FL",3120,2024-03-09 18:08:00+00:00,2024-03-09 18:15:00+00:00
92,Silver Service / Palmetto,OKE,"Okeechobee, FL",Silver Service / Palmetto,SBG,"Sebring, FL",2040,2024-03-09 19:07:00+00:00,2024-03-09 19:09:00+00:00
